H,B,S,V,R,E,F,CCI
0.6537597076759067,0.42643711103529797,0.2777466921898702,0.9362997966112446,0.9540023974325454,0.649649140988973,0.3983016307454501,0.5520760768394086
0.4810628716350033,0.6379489853524222,0.29463503336709435,0.9286615097397163,0.6906127863373905,0.6065842372863253,0.3419116319185582,0.5830537673826413
0.49883185998077295,0.83022720608064,0.2757154642850059,0.665668084938928,0.6047956811254926,0.5750476592821679,0.3174743407946995,0.5506829432792585
0.7075739536221436,0.7570935347699979,0.30878705419231045,0.6085071314888062,0.6896498674020227,0.6143223082950562,0.344081242835974,0.5561244000174415
0.7850466995029672,0.6832176493400864,0.27272180670678736,1.0,0.3584895036144276,0.6198951318328537,0.3586187827293047,0.5786747567781136
0.43706190930955763,0.8435485125297403,0.2904060556072889,0.7319858362507541,0.9062581420279889,0.641852091145066,0.3846062198720302,0.5606273704456457
0.8152971583689608,0.7033917762033043,0.2988078209988629,0.8453983786034229,0.5239545798574985,0.6373699428064098,0.37985568044326945,0.5492866157497641
0.7442199048309935,0.5736379557207869,0.3004339782156781,0.691859068953131,1.0,0.6620301815441179,0.4183225363246922,0.5470424613900328
0.7543475830869899,0.7560862928517914,0.2721344255633619,0.6893004015148073,0.42280037562528905,0.5789338157284479,0.3213519831807899,0.5517466021215548
0.5211767673247117,0.8396594642075048,0.2793643573262031,0.49437395049240923,0.7699021423483082,0.5808953363398274,0.32121423015397993,0.5700029021977968
0.8019854980786184,0.39553039700517145,0.27246796181796346,0.708553952373748,0.8193742766099076,0.5995824171770818,0.34051584957312103,0.5553714254988479
0.8004414242403134,1.0,0.2667651498905536,0.7092304655343192,0.380863623962513,0.6314601327255398,0.37666889902708883,0.5500207156862609
0.6454550332098721,0.29453284853567696,0.24018497534067548,0.981756795967541,0.8329631586873789,0.5989785623482289,0.3473373884590788,0.5497535619482947
0.5721886920337625,0.9266660636857347,0.2971724757932729,0.625575510466476,0.825379035288114,0.6493963554534721,0.39921215615182193,0.545398704859428
0.6608825862894575,0.8378221617492994,0.30219671795071523,0.8673703916973594,0.5238756856716961,0.6384295086717056,0.379725361425308,0.5605929435720607
